question,intent,source,original_reference
What is the IDV of my car?,calculation,InsuranceQA,Feng et al. ASRU 2015
How is the insured declared value calculated?,calculation,InsuranceQA,Feng et al. ASRU 2015
Can you calculate the IDV for a 3-year-old car worth 8 lakhs?,calculation,InsuranceQA,Feng et al. ASRU 2015
What depreciation rate applies to a 2-year-old vehicle?,calculation,InsuranceQA,Feng et al. ASRU 2015
How much No Claim Bonus will I get after 3 claim-free years?,calculation,InsuranceQA,Feng et al. ASRU 2015
What is my NCB discount after 5 years without a claim?,calculation,InsuranceQA,Feng et al. ASRU 2015
Calculate the own damage premium for my car,calculation,InsuranceQA,Feng et al. ASRU 2015
Estimate total motor insurance premium for a new bike,calculation,InsuranceQA,Feng et al. ASRU 2015
What will be the premium for a 5-lakh IDV car?,calculation,InsuranceQA,Feng et al. ASRU 2015
How do I compute my vehicle's sum insured?,calculation,InsuranceQA,Feng et al. ASRU 2015
What GST is applied on motor insurance premium?,calculation,InsuranceQA,Feng et al. ASRU 2015
Can NCB be transferred to a new car?,calculation,IRDAI_FAQ,IRDAI Motor Insurance FAQ 2023
What percentage NCB is given for 4 consecutive claim-free years?,calculation,IRDAI_FAQ,IRDAI Motor Insurance FAQ 2023
How is IDV depreciated under IRDAI guidelines?,calculation,IRDAI_FAQ,IRDAI Motor Insurance FAQ 2023
What is the maximum NCB discount allowed by IRDAI?,calculation,IRDAI_FAQ,IRDAI Motor Insurance FAQ 2023
What does Section 146 of the Motor Vehicles Act 1988 mandate?,regulatory,IRDAI_FAQ,IRDAI Motor Insurance FAQ 2023
Is third-party motor insurance compulsory in India?,regulatory,IRDAI_FAQ,IRDAI Motor Insurance FAQ 2023
What are the IRDAI regulations for motor insurance companies?,regulatory,IRDAI_FAQ,IRDAI Motor Insurance FAQ 2023
Which law makes motor insurance mandatory in India?,regulatory,IRDAI_FAQ,IRDAI Motor Insurance FAQ 2023
What happens if I drive without valid insurance?,regulatory,IRDAI_FAQ,IRDAI Motor Insurance FAQ 2023
What are the penalties for not having motor insurance?,regulatory,IRDAI_FAQ,IRDAI Motor Insurance FAQ 2023
What is covered under a comprehensive motor insurance policy?,coverage,InsuranceQA,Feng et al. ASRU 2015
Is fire damage covered in my car insurance?,coverage,InsuranceQA,Feng et al. ASRU 2015
Does motor insurance cover flood damage?,coverage,InsuranceQA,Feng et al. ASRU 2015
What is covered under own damage in motor insurance?,coverage,InsuranceQA,Feng et al. ASRU 2015
Does my car insurance cover theft?,coverage,InsuranceQA,Feng et al. ASRU 2015
Is personal accident cover included in motor insurance?,coverage,InsuranceQA,Feng et al. ASRU 2015
What are the exclusions in a motor insurance policy?,coverage,InsuranceQA,Feng et al. ASRU 2015
Is cyclone damage covered by motor insurance?,coverage,InsuranceQA,Feng et al. ASRU 2015
What third-party liabilities are covered?,coverage,InsuranceQA,Feng et al. ASRU 2015
Is zero depreciation add-on worth buying?,coverage,InsuranceQA,Feng et al. ASRU 2015
Does motor insurance cover engine damage due to waterlogging?,coverage,IRDAI_FAQ,IRDAI Motor Insurance FAQ 2023
Is roadside assistance covered under standard motor insurance?,coverage,IRDAI_FAQ,IRDAI Motor Insurance FAQ 2023
How do I file a motor insurance claim?,claim_process,BANKING77_adapted,Madotto et al. ACL 2020
What documents do I need to file a car insurance claim?,claim_process,BANKING77_adapted,Madotto et al. ACL 2020
How long does the motor insurance claim process take?,claim_process,BANKING77_adapted,Madotto et al. ACL 2020
What is the cashless claim process for motor insurance?,claim_process,BANKING77_adapted,Madotto et al. ACL 2020
